Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
Ambassador De Luxe Jr.,Ambassador De Luxe Jr.,5820,Stoner Manufacturing Company,"February, 1933",1,ME,
Ambassador De Luxe Sr.,Ambassador De Luxe Sr.,5821,Stoner Manufacturing Company,"February, 1933",1,ME,
Amber,Amber,68,Williams Manufacturing Company,8-Jan-47,1,EM,Girls - Women
America 1492,America 1492,5013,"Juegos Populares, S.A.",1986,4,SS,Historical
America's Most Haunted,America's Most Haunted,6161,Spooky Pinball LLC,21-Mar-14,4,SS,Ghost Hunting - Supernatural
American Beauty,American Beauty,5451,Westerhaus Amusement Company,"March, 1945",1,EM,
American Beauty,American Beauty,2872,Unknown Manufacturer,"April, 1945",1,EM,
American Beauty,American Beauty,2873,"Daval Mfg Company Incorporated, G.B.","June, 1934",1,ME,
American Beauty,American Beauty,3640,Gee Bee Manufacturing Company,"February, 1934",1,ME,
American Keen Ball Game,American Keen Ball Game,4821,The W. C. Peters Company,,1,ME,
American League,American League,5001,Bally Manufacturing Corporation,"May, 1939",1,EM,Sports - Baseball
Amigo,Amigo,71,Bally Manufacturing Corporation,"May, 1974",4,EM,Dancing - Happiness - Music - Singing - Mexican Culture
Amuzu,Amuzu,6237,Caldwell Novelty Co.,"March, 1932",1,ME,
Ana Bond,Ana Bond,4610,Talleres del Llobregat S.A. [Automaticos],1966,1,EM,Adventure - Fantasy
Anabel,Anabel,72,Stoner Manufacturing Company,"November, 1940",1,EM,
Anchors Aweigh,Anchors Aweigh,4727,Shyvers Coin Automatic Machine Company,"January, 1934",1,ME,Military - Nautical - Naval- Navy
Andromeda,Andromeda,5531,Sigma,,1,,Space Fantasy
Andromeda,Andromeda,73,"Game Plan, Incorporated","September, 1985",4,SS,Fantasy - Women
Angels,Angels,4396,Dama S.R.L.,1970,1,EM,Motorcycles
Angle Lite,Angle Lite,74,Coincraft Corporation,"June, 1935",1,EM,
Animated,Animated,821,Stoner Manufacturing Company,"February, 1940",1,EM,
Antar,Antar,3646,Playmatic,"November, 1979",4,SS,Dragons - Fantasy
Antares,Antares,3689,Nordamatic,1979,4,SS,
Anti-Aircraft,Anti-Aircraft,3856,Glickman Industries,"August, 1944",1,EM,
Apache,Apache,4483,Playmatic,1975,1,EM,
Apache!,Apache!,4660,"Taito do Brasil, a division of Taito, Japan",,4,SS,Native Americans - Warriors
Apero Ball,Apero Ball,6114,Comet,,1,EM,
Apocalypse Now,Apocalypse Now,3932,Jeutel,1985,4,SS,
Apollo,Apollo,77,"Williams Electronics, Incorporated",19-Jun-67,1,EM,Space Exploration
Apollo 13,Apollo 13,3592,"Sega Pinball, Incorporated","October, 1995",6,SS,Disaster - Space
Apollo Ball,Apollo Ball,3648,Bally Manufacturing Corporation,,1,EM,
Apollo Moon Shot Rifle,Apollo Moon Shot Rifle,6487,Chicago Coin Machine Manufacturing Company,"December, 1968",1,EM,Fantasy - Outer Space - Science Fiction
Apollo-9,Apollo-9,5304,Talleres del Llobregat S.A. [Automaticos],1969,1,EM,Space Exploration
Apolo 2001,Apolo 2001,5756,Manufacturas Automaticas Americanas,1969,1,EM,Space Exploration
Aqua Gun,Aqua Gun,6340,"Williams Electronics, Incorporated",30-Jan-68,1,EM,Sports - Water Sports - Spear Fishing - Diving
Aquacade,Aquacade,78,United Manufacturing Company,"May, 1949",1,EM,Aquatic Fun - Happiness
Aqualand,Aqualand,3935,"Juegos Populares, S.A.",1986,4,SS,Amusement Park - Water
Aquarius,Aquarius,79,D. Gottlieb & Company,"October, 1970",1,EM,Astrology
